"film_name","sum_payment","number_rental"
"Telegraph Voyage","215.75","25"
"Zorro Ark","199.72","28"
"Wife Turn","198.73","27"
"Innocent Usual","191.74","26"
"Hustler Party","190.78","22"
"Saturday Lambs","190.74","26"
"Titans Jerk","186.73","27"
"Harry Idaho","177.73","27"
"Torque Bound","169.76","23"
"Dogma Family","168.72","28"
"Pelican Comforts","165.77","23"
"Goodfellas Salute","164.75","25"
"Fool Mockingbird","162.79","21"
"Apache Divine","160.72","28"
"Enemy Odds","159.75","25"
"Cat Coneheads","159.73","27"
"Scorpion Apollo","158.79","21"
"Range Moonwalker","158.77","23"
"Scalawag Duck","157.71","29"
"Sunrise League","155.78","22"
"Lola Agent","154.77","23"
"Maiden Home","152.78","22"
"Velvet Terminator","152.77","23"
"Closer Bang","152.76","24"
"Bucket Brotherhood","150.72","28"
