"film_name","film_category","language","rental_count"
"Bucket Brotherhood","Travel","English             ","34"
"Rocketeer Mother","Foreign","English             ","33"
"Grit Clockwork","Games","English             ","32"
"Forward Temple","Games","English             ","32"
"Ridgemont Submarine","New","English             ","32"
"Juggler Hardly","Animation","English             ","32"
"Scalawag Duck","Music","English             ","32"
"Zorro Ark","Comedy","English             ","31"
"Network Peak","Family","English             ","31"
"Goodfellas Salute","Sci-Fi","English             ","31"
"Hobbit Alien","Drama","English             ","31"
"Rush Goodfellas","Family","English             ","31"
"Apache Divine","Family","English             ","31"
"Timberland Sky","Classics","English             ","31"
"Robbers Joon","Children","English             ","31"
"Wife Turn","Documentary","English             ","31"
"Massacre Usual","Games","English             ","30"
"Butterfly Chocolat","New","English             ","30"
"Rugrats Shakespeare","Action","English             ","30"
"Dogma Family","Animation","English             ","30"
"Suspects Quills","Action","English             ","30"
"Witches Panic","Drama","English             ","30"
"Married Go","Sci-Fi","English             ","30"
"Shock Cabin","Foreign","English             ","30"
"Muscle Bright","Travel","English             ","30"
"Idols Snatchers","Children","English             ","30"
"English Bulworth","Sci-Fi","English             ","30"
"Cat Coneheads","Comedy","English             ","30"
"Harry Idaho","Drama","English             ","30"
"Graffiti Love","Sci-Fi","English             ","30"
"Pulp Beverly","Horror","English             ","30"
"Frost Head","Classics","English             ","30"
"Deer Virginian","Music","English             ","29"
"Virginian Pluto","Documentary","English             ","29"
"Boogie Amelie","Music","English             ","29"
"Confidential Interview","Music","English             ","29"
"Family Sweet","Horror","English             ","29"
"Sweethearts Suspects","Children","English             ","29"
"Videotape Arsenic","Games","English             ","29"
"Talented Homicide","Sports","English             ","29"
"Gleaming Jawbreaker","Sports","English             ","29"
"Storm Happiness","Animation","English             ","29"
"Moon Bunch","Foreign","English             ","29"
"Bingo Talented","Sci-Fi","English             ","29"
"Enemy Odds","Music","English             ","29"
"Titans Jerk","Sci-Fi","English             ","29"
"Greatest North","Music","English             ","29"
"Gilmore Boiled","Classics","English             ","28"
"Expendable Stallion","Documentary","English             ","28"
"Handicap Boondock","Action","English             ","28"
"Giant Troopers","Children","English             ","28"
"Fatal Haunted","New","English             ","28"
"Voyage Legally","Classics","English             ","28"
"Roses Treasure","Sports","English             ","28"
"Saturday Lambs","Sports","English             ","28"
"Closer Bang","Comedy","English             ","28"
"Trip Newton","Action","English             ","28"
"Story Side","Action","English             ","28"
"None Spiking","Sci-Fi","English             ","27"
"Operation Operation","Comedy","English             ","27"
"Range Moonwalker","Family","English             ","27"
"Lies Treatment","Drama","English             ","27"
"Curtain Videotape","Games","English             ","27"
"Princess Giant","Documentary","English             ","27"
"Movie Shakespeare","Family","English             ","27"
"Goldmine Tycoon","Sci-Fi","English             ","27"
"Wardrobe Phantom","Drama","English             ","27"
"Chance Resurrection","Sports","English             ","27"
"Spy Mile","Games","English             ","27"
"Dancing Fever","Documentary","English             ","27"
"Loathing Legally","Classics","English             ","27"
"Invasion Cyclone","Children","English             ","27"
"Forrester Comancheros","Animation","English             ","27"
"Blackout Private","Animation","English             ","27"
"Primary Glass","Action","English             ","27"
"Telegraph Voyage","Music","English             ","27"
"Camelot Vacation","Sci-Fi","English             ","27"
"Torque Bound","Drama","English             ","27"
"Horror Reign","Travel","English             ","27"
"Detective Vision","Classics","English             ","27"
"Lose Inch","Foreign","English             ","27"
"Dorado Notting","Music","English             ","27"
"Swarm Gold","Horror","English             ","27"
"Gangs Pride","Animation","English             ","27"
"Hyde Doctor","Classics","English             ","26"
