"film_id","title","rental_rate","inventory_count"
325,"Floats Garden","2.99","0"
108,"Butch Panther","0.99","0"
802,"Sky Miracle","2.99","0"
671,"Perdition Fargo","4.99","0"
742,"Roof Champion","0.99","0"
217,"Dazed Punk","4.99","0"
36,"Argonauts Town","0.99","0"
221,"Deliverance Mulholland","0.99","0"
669,"Pearl Destiny","2.99","0"
801,"Sister Freddy","4.99","0"
950,"Volume House","4.99","0"
14,"Alice Fantasia","0.99","0"
87,"Boondock Ballroom","0.99","0"
171,"Commandments Express","4.99","0"
642,"Order Betrayed","2.99","0"
860,"Suicides Silence","4.99","0"
38,"Ark Ridgemont","0.99","0"
128,"Catch Amistad","0.99","0"
404,"Hate Handicap","0.99","0"
419,"Hocus Frida","2.99","0"
332,"Frankenstein Stranger","0.99","0"
713,"Rainbow Shock","4.99","0"
909,"Treasure Command","0.99","0"
712,"Raiders Antitrust","0.99","0"
943,"Villain Desperate","4.99","0"
41,"Arsenic Independence","0.99","0"
318,"Firehouse Vietnam","0.99","0"
192,"Crossing Divorce","4.99","0"
607,"Muppet Mile","4.99","0"
195,"Crowds Telemark","4.99","0"
701,"Psycho Shrunk","2.99","0"
144,"Chinatown Gladiator","4.99","0"
198,"Crystal Breaking","2.99","0"
955,"Walls Artist","4.99","0"
33,"Apollo Teen","2.99","0"
148,"Chocolate Duck","2.99","0"
497,"Kill Brotherhood","0.99","0"
495,"Kentuckian Giant","2.99","0"
359,"Gladiator Westward","4.99","0"
954,"Wake Jaws","4.99","0"
874,"Tadpole Park","2.99","0"
386,"Gump Date","4.99","0"
965,"Watership Frontier","0.99","2"
997,"Youth Kick","0.99","2"
817,"Soldiers Evolution","4.99","2"
808,"Sling Luke","0.99","2"
82,"Blood Argonauts","0.99","2"
799,"Simon North","0.99","2"
781,"Seven Swarm","4.99","2"
779,"Sense Greek","4.99","2"
959,"Warlock Werewolf","2.99","2"
94,"Braveheart Human","2.99","2"
769,"School Jacket","4.99","2"
102,"Bubble Grosse","4.99","2"
754,"Rushmore Mermaid","2.99","2"
106,"Bulworth Commandments","2.99","2"
107,"Bunch Minds","2.99","2"
751,"Runaway Tenenbaums","0.99","2"
721,"Reds Pocus","4.99","2"
719,"Records Zorro","4.99","2"
998,"Zhivago Core","0.99","2"
125,"Cassidy Wyoming","2.99","2"
29,"Antitrust Tomatoes","2.99","2"
30,"Anything Savannah","2.99","2"
718,"Rebel Airport","0.99","2"
703,"Punk Divorce","4.99","2"
32,"Apocalypse Flamingos","4.99","2"
699,"Private Drop","4.99","2"
695,"President Bang","4.99","2"
685,"Platoon Instinct","4.99","2"
684,"Pizza Jumanji","2.99","2"
156,"Clerks Angels","4.99","2"
947,"Vision Torque","0.99","2"
675,"Phantom Glory","2.99","2"
161,"Clue Grail","4.99","2"
659,"Park Citizen","4.99","2"
656,"Papi Necklace","0.99","2"
168,"Comancheros Enemy","0.99","2"
653,"Panic Club","4.99","2"
635,"Oklahoma Jumanji","0.99","2"
178,"Connection Microcosmos","0.99","2"
622,"Newsies Story","0.99","2"
180,"Conspiracy Spirit","2.99","2"
182,"Control Anthem","4.99","2"
185,"Cowboy Doom","2.99","2"
613,"Mystic Truman","0.99","2"
612,"Mussolini Spoilers","2.99","2"
196,"Cruelty Unforgiven","0.99","2"
197,"Crusade Honey","2.99","2"
605,"Mulholland Beast","2.99","2"
935,"Vanished Garden","0.99","2"
584,"Mixed Doors","2.99","2"
582,"Miracle Virtual","2.99","2"
569,"Menagerie Rushmore","2.99","2"
926,"Untouchables Sunrise","2.99","2"
566,"Maude Mod","0.99","2"
910,"Treatment Jekyll","0.99","2"
211,"Darling Breaking","4.99","2"
565,"Matrix Snowman","4.99","2"
558,"Mannequin Worst","2.99","2"
548,"Magnificent Chitty","2.99","2"
547,"Magic Mallrats","0.99","2"
223,"Desire Alien","2.99","2"
224,"Desperate Trainspotting","4.99","2"
996,"Young Language","0.99","2"
543,"Madigan Dorado","4.99","2"
541,"Luke Mummy","2.99","2"
539,"Luck Opus","2.99","2"
230,"Diary Panic","2.99","2"
523,"Lights Deer","0.99","2"
522,"Life Twisted","2.99","2"
237,"Divorce Shining","2.99","2"
238,"Doctor Grail","2.99","2"
47,"Baby Hall","4.99","2"
520,"License Weekend","2.99","2"
517,"Lesson Cleopatra","0.99","2"
248,"Dozen Lion","4.99","2"
515,"Legally Secretary","4.99","2"
513,"Leathernecks Dwarfs","2.99","2"
507,"Ladybugs Armageddon","0.99","2"
904,"Train Bunch","4.99","2"
990,"World Leathernecks","0.99","2"
499,"King Evolution","4.99","2"
259,"Duck Racer","2.99","2"
498,"Killer Innocent","2.99","2"
261,"Duffel Apocalypse","0.99","2"
262,"Dumbo Lust","0.99","2"
264,"Dwarfs Alter","2.99","2"
268,"Early Home","4.99","2"
492,"Jungle Closer","0.99","2"
490,"Jumanji Blade","2.99","2"
52,"Ballroom Mockingbird","0.99","2"
279,"Elizabeth Shane","4.99","2"
278,"Elf Murder","4.99","2"
53,"Bang Kwai","2.99","2"
475,"Japanese Run","0.99","2"
472,"Italian African","4.99","2"
289,"Eve Resurrection","4.99","2"
903,"Traffic Hobbit","4.99","2"
470,"Ishtar Rocketeer","4.99","2"
466,"Intolerable Intentions","4.99","2"
459,"Informer Double","4.99","2"
454,"Impact Aladdin","0.99","2"
297,"Extraordinary Conquerer","2.99","2"
441,"Hunter Alter","2.99","2"
435,"Hotel Happiness","4.99","2"
885,"Texas Watch","0.99","2"
425,"Holy Tadpole","0.99","2"
310,"Fever Empire","4.99","2"
883,"Tequila Past","4.99","2"
876,"Tarzan Videotape","2.99","2"
316,"Fire Wolves","4.99","2"
422,"Hollow Jeopardy","4.99","2"
411,"Heavenly Gun","4.99","2"
407,"Hawk Chill","0.99","2"
405,"Haunted Antitrust","4.99","2"
335,"Freedom Cleopatra","0.99","2"
401,"Harold French","0.99","2"
984,"Wonderful Drop","2.99","2"
62,"Bed Highball","2.99","2"
340,"Frontier Cabin","4.99","2"
400,"Hardly Robbers","2.99","2"
343,"Full Flatliners","2.99","2"
399,"Happiness United","2.99","2"
393,"Halloween Nuts","2.99","2"
375,"Grail Frankenstein","2.99","2"
372,"Graceland Dynamite","4.99","2"
368,"Gone Trouble","2.99","2"
355,"Ghostbusters Elf","0.99","2"
362,"Glory Tracy","2.99","2"
974,"Wild Apollo","0.99","2"
866,"Sunset Racer","0.99","2"
839,"Stallion Sundance","0.99","2"
826,"Speed Suit","4.99","2"
822,"Soup Wisdom","0.99","2"
752,"Runner Madigan","0.99","3"
384,"Grosse Wonderful","4.99","3"
98,"Bright Encounters","4.99","3"
2,"Ace Goldfinger","4.99","3"
5,"African Egg","2.99","3"
20,"Amelie Hellfighters","4.99","3"
28,"Anthem Luke","4.99","3"
46,"Autumn Crow","4.99","3"
126,"Casualties Encino","4.99","3"
60,"Beast Hunchback","4.99","3"
64,"Beethoven Exorcist","0.99","3"
66,"Beneath Rush","0.99","3"
75,"Bird Independence","4.99","3"
76,"Birdcage Casper","0.99","3"
93,"Brannigan Sunrise","4.99","3"
96,"Breaking Home","2.99","3"
104,"Bugsy Song","2.99","3"
120,"Caribbean Liberty","4.99","3"
124,"Casper Dragonfly","4.99","3"
134,"Champion Flatliners","4.99","3"
136,"Chaplin License","2.99","3"
145,"Chisum Behavior","4.99","3"
146,"Chitty Lock","2.99","3"
157,"Clockwork Paradise","0.99","3"
163,"Clyde Theory","0.99","3"
177,"Connecticut Tramp","4.99","3"
187,"Cranes Reservoir","2.99","3"
188,"Crazy Home","2.99","3"
202,"Daddy Pittsburgh","4.99","3"
208,"Dares Pluto","2.99","3"
210,"Darko Dorado","4.99","3"
225,"Destination Jerk","0.99","3"
240,"Dolls Rage","2.99","3"
246,"Doubtfire Labyrinth","4.99","3"
256,"Drop Waterfront","4.99","3"
257,"Drumline Cyclone","0.99","3"
277,"Elephant Trojan","4.99","3"
283,"Ending Crowds","0.99","3"
290,"Everyone Craft","0.99","3"
306,"Feathers Metal","0.99","3"
312,"Fiddler Lost","4.99","3"
315,"Finding Anaconda","0.99","3"
338,"Frisco Forrest","4.99","3"
339,"Frogmen Breaking","0.99","3"
364,"Godfather Diary","2.99","3"
371,"Gosford Donnie","4.99","3"
390,"Guys Falcon","4.99","3"
413,"Hedwig Alter","2.99","3"
426,"Home Pity","4.99","3"
431,"Hoosiers Birdcage","2.99","3"
442,"Hunting Musketeers","2.99","3"
469,"Iron Moon","4.99","3"
477,"Jawbreaker Brooklyn","0.99","3"
482,"Jeopardy Encino","0.99","3"
485,"Jersey Sassy","4.99","3"
487,"Jingle Sagebrush","4.99","3"
493,"Kane Exorcist","0.99","3"
503,"Kramer Chocolate","2.99","3"
508,"Lambs Cincinatti","4.99","3"
509,"Language Cowboy","0.99","3"
516,"Legend Jedi","0.99","3"
528,"Lolita World","2.99","3"
530,"Lord Arizona","2.99","3"
533,"Lost Bird","2.99","3"
537,"Lover Truman","2.99","3"
538,"Loverboy Attacks","0.99","3"
540,"Lucky Flying","2.99","3"
550,"Maguire Apache","2.99","3"
553,"Maker Gables","0.99","3"
564,"Massage Image","2.99","3"
576,"Mighty Luck","2.99","3"
577,"Mile Mulan","0.99","3"
581,"Minority Kiss","0.99","3"
587,"Mod Secretary","4.99","3"
591,"Monsoon Cause","4.99","3"
594,"Montezuma Command","0.99","3"
604,"Mulan Moon","0.99","3"
617,"Natural Stock","0.99","3"
627,"North Tequila","4.99","3"
630,"Notting Speakeasy","0.99","3"
632,"Nuts Ties","4.99","3"
633,"October Submarine","4.99","3"
636,"Oleander Clue","0.99","3"
639,"Opposite Necklace","4.99","3"
640,"Opus Ice","4.99","3"
674,"Pet Haunting","0.99","3"
682,"Pittsburgh Hunchback","4.99","3"
692,"Potluck Mixed","2.99","3"
700,"Prix Undefeated","2.99","3"
714,"Random Go","2.99","3"
726,"Reservoir Adaptation","2.99","3"
731,"Right Cranes","4.99","3"
740,"Rollercoaster Bringing","2.99","3"
750,"Run Pacific","0.99","3"
756,"Saddle Antitrust","2.99","3"
758,"Saints Bride","2.99","3"
761,"Santa Paris","2.99","3"
766,"Savannah Town","0.99","3"
770,"Scissorhands Slums","2.99","3"
780,"Sensibility Rear","4.99","3"
787,"Shining Roses","0.99","3"
792,"Shrek License","2.99","3"
811,"Smile Earring","2.99","3"
815,"Snatchers Montezuma","2.99","3"
819,"Song Hedwig","0.99","3"
825,"Speakeasy Date","2.99","3"
831,"Spirited Casualties","0.99","3"
834,"Spoilers Hellfighters","0.99","3"
836,"Squad Fish","2.99","3"
837,"Stage World","2.99","3"
848,"Stone Fire","0.99","3"
853,"Stranger Strangers","4.99","3"
868,"Superfly Trip","0.99","3"
872,"Sweet Brotherhood","2.99","3"
884,"Terminator Club","4.99","3"
889,"Ties Hunger","4.99","3"
899,"Towers Hurricane","0.99","3"
905,"Trainspotting Strangers","4.99","3"
923,"Unfaithful Kill","2.99","3"
928,"Uptown Young","2.99","3"
931,"Valentine Vanishing","0.99","3"
933,"Vampire Whale","4.99","3"
934,"Vanilla Day","4.99","3"
940,"Victory Academy","0.99","3"
952,"Wagon Jaws","2.99","3"
960,"Wars Pluto","2.99","3"
968,"Werewolf Lola","4.99","3"
977,"Window Side","2.99","3"
978,"Wisdom Worker","0.99","3"
983,"Won Dares","2.99","3"
994,"Wyoming Storm","4.99","3"
956,"Wanda Chamber","4.99","4"
793,"Shrunk Divine","2.99","4"
794,"Side Ark","0.99","4"
795,"Siege Madre","0.99","4"
546,"Madre Gables","2.99","4"
179,"Conquerer Nuts","4.99","4"
798,"Silverado Goldfinger","4.99","4"
85,"Bonnie Holocaust","0.99","4"
84,"Boiled Dares","4.99","4"
219,"Deep Crusade","4.99","4"
626,"Noon Papi","2.99","4"
529,"Lonely Elephant","2.99","4"
549,"Magnolia Forrester","0.99","4"
81,"Blindness Gun","4.99","4"
809,"Slipper Fidelity","0.99","4"
629,"Notorious Reunion","0.99","4"
813,"Smoochy Control","0.99","4"
907,"Translation Summer","0.99","4"
80,"Blanket Beverly","2.99","4"
552,"Majestic Floats","0.99","4"
992,"Wrath Mile","0.99","4"
821,"Sorority Queen","0.99","4"
265,"Dying Maker","4.99","4"
824,"Spartacus Cheaper","4.99","4"
927,"Uprising Uptown","2.99","4"
71,"Bilko Anonymous","4.99","4"
828,"Spiking Element","2.99","4"
634,"Odds Boogie","0.99","4"
830,"Spirit Flintstones","0.99","4"
962,"Wasteland Divine","2.99","4"
832,"Splash Gump","0.99","4"
908,"Trap Guys","4.99","4"
8,"Airport Pollock","4.99","4"
16,"Alley Evolution","2.99","4"
70,"Bikini Borrowers","4.99","4"
840,"Stampede Disturbing","0.99","4"
842,"State Wasteland","2.99","4"
844,"Steers Armageddon","4.99","4"
847,"Stock Glass","2.99","4"
900,"Town Ark","2.99","4"
929,"Usual Untouchables","4.99","4"
854,"Strangers Graffiti","4.99","4"
855,"Streak Ridgemont","0.99","4"
858,"Submarine Bed","4.99","4"
68,"Betrayed Rear","4.99","4"
213,"Date Speed","0.99","4"
65,"Behavior Runaway","4.99","4"
867,"Super Wyoming","4.99","4"
969,"West Lion","4.99","4"
360,"Glass Dying","0.99","4"
357,"Gilbert Pelican","0.99","4"
214,"Daughter Madigan","4.99","4"
365,"Gold River","4.99","4"
48,"Backlash Undefeated","4.99","4"
652,"Pajama Jawbreaker","0.99","4"
971,"Whale Bikini","4.99","4"
352,"Gathering Calendar","0.99","4"
169,"Comforts Rush","2.99","4"
348,"Gandhi Kwai","0.99","4"
379,"Greedy Roots","0.99","4"
654,"Panky Submarine","4.99","4"
532,"Loser Hustler","4.99","4"
658,"Paris Weekend","2.99","4"
209,"Darkness War","2.99","4"
347,"Games Bowfinger","4.99","4"
389,"Gunfighter Mussolini","2.99","4"
63,"Bedazzled Married","0.99","4"
660,"Party Knock","2.99","4"
394,"Hamlet Wisdom","2.99","4"
449,"Identity Lover","2.99","4"
396,"Hanging Deep","4.99","4"
398,"Hanover Galaxy","4.99","4"
661,"Past Suicides","4.99","4"
342,"Fugitive Maguire","4.99","4"
337,"Frida Slipper","2.99","4"
662,"Paths Control","4.99","4"
333,"Freaky Pocus","2.99","4"
328,"Forever Candidate","2.99","4"
567,"Meet Chocolate","2.99","4"
568,"Memento Zoolander","4.99","4"
207,"Dangerous Uptown","4.99","4"
323,"Flight Lies","4.99","4"
667,"Peach Innocent","2.99","4"
421,"Holiday Games","4.99","4"
321,"Flash Wars","4.99","4"
423,"Hollywood Anonymous","0.99","4"
519,"Liberty Magnificent","2.99","4"
308,"Ferris Mother","2.99","4"
573,"Microcosmos Paradise","2.99","4"
427,"Homeward Cider","0.99","4"
